NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MBD4	1	ENSG00000129071	
KLRK1-AS1	1	ENSG00000245648	
HIVEP2-DT	1	ENSG00000232618	
MBD5	1	ENSG00000204406	
MBD6	1	ENSG00000166987	
BIK	1	ENSG00000100290	
MBD1	1	ENSG00000141644	
MBD2	1	ENSG00000134046	
ADAM32	2	ENSG00000197140:ENSG00000275594	
KIAA2013	1	ENSG00000116685	
HHLA3-AS1	1	ENSG00000226088	
ENSG00000205890	1	ENSG00000205890	
MITD1	1	ENSG00000158411	
PKN2	1	ENSG00000065243	
PKN1	1	ENSG00000123143	
RASL11B	1	ENSG00000128045	
FBXO27	1	ENSG00000161243	
FBXO28	1	ENSG00000143756	
PDLIM1P4	1	ENSG00000249274	
RASL11A	1	ENSG00000122035	
FBXO25	1	ENSG00000147364	
GOLIM4	1	ENSG00000173905	
PDLIM1P1	1	ENSG00000270788	
FBXO24	1	ENSG00000106336	
FBXO21	1	ENSG00000135108	
FBXO22	1	ENSG00000167196	
FADS3	1	ENSG00000221968	
FADS2	1	ENSG00000134824	
POTEM	1	ENSG00000222036	
POFUT2	1	ENSG00000186866	
PTAR1	1	ENSG00000188647	
FNTA	1	ENSG00000168522	
MYBPHL	1	ENSG00000221986	
POTEH	1	ENSG00000198062	
POFUT1	1	ENSG00000101346	
POTEI	1	ENSG00000196834	
POTEJ	1	ENSG00000222038	
FNTB	1	ENSG00000257365	
NEK1	1	ENSG00000137601	
POTEE	1	ENSG00000188219	
TNFRSF8	1	ENSG00000120949	
NEK2	1	ENSG00000117650	
POTEF	1	ENSG00000196604	
NEK3	1	ENSG00000136098	
POTEG	1	ENSG00000187537	
FADS1	1	ENSG00000149485	
KCNH1	1	ENSG00000143473	
KCNH2	1	ENSG00000055118	
PIAS4	1	ENSG00000105229	
KCNH3	1	ENSG00000135519	
PIAS3	1	ENSG00000131788	
KCNH4	1	ENSG00000089558	
DGAT2	1	ENSG00000062282	
KCNH5	1	ENSG00000140015	
DGAT1	1	ENSG00000185000	
RXYLT1-AS1	1	ENSG00000255850	
FBXO16	1	ENSG00000214050	
STX8	1	ENSG00000170310	
FBXO17	2	ENSG00000269190:ENSG00000282954	
STX7	1	ENSG00000079950	
FBXO15	1	ENSG00000141665	
MIR583HG	1	ENSG00000250551	
FBXO10	1	ENSG00000147912	
NEAT1	1	ENSG00000245532	
FBXO11	1	ENSG00000138081	
PIAS2	1	ENSG00000078043	
LOC102723692	1	ENSG00000261448	
PIAS1	1	ENSG00000033800	
MINPP1	1	ENSG00000107789	
DMTF1	1	ENSG00000135164	
PKP2	1	ENSG00000057294	
PKP1	1	ENSG00000081277	
PKP4	1	ENSG00000144283	
PKP3	1	ENSG00000184363	
MIR210HG	2	ENSG00000247095:ENSG00000282810	
BLM	1	ENSG00000197299	
KCNE1	1	ENSG00000180509	
KCNE2	1	ENSG00000159197	
KCNE3	1	ENSG00000175538	
KCNE4	1	ENSG00000152049	
KCNE5	1	ENSG00000176076	
ZC4H2	1	ENSG00000126970	
IREB2	1	ENSG00000136381	
FBXO47	1	ENSG00000204952	
FBXO48	1	ENSG00000204923	
GSTT2	2	ENSG00000099984:ENSG00000277897	
PDGFA-DT	1	ENSG00000223855	
FBXO45	1	ENSG00000174013	
