"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"RP11-214O1.2"	-1.29029110882891	3.24115836727337	8.43876780895714e-11	1.77771082663491e-08	TRUE	TRUE	FALSE
"CCPG1"	0.764103060539482	4.66639057320458	8.77627024680661e-11	1.81964628148494e-08	TRUE	FALSE	FALSE
"GRB10"	-0.486490042263508	6.31407498707896	8.81059150818682e-11	1.81964628148494e-08	TRUE	FALSE	FALSE
"AKR1B1"	-0.528647041239912	9.39328338534379	9.48750059160265e-11	1.94042415012331e-08	TRUE	FALSE	FALSE
"NRN1"	-0.640053154010273	7.84671148508742	1.01532310238648e-10	2.05661504566093e-08	TRUE	FALSE	FALSE
"SH3BP4"	-0.552148043396405	7.28690997441253	1.06048166338911e-10	2.12762921151951e-08	TRUE	FALSE	FALSE
"HK2"	-0.683803567368305	9.834230779143	1.09721229387113e-10	2.18055416817823e-08	TRUE	FALSE	FALSE
"PLEKHA2"	-0.683137281044828	5.64874616454766	1.15298933379251e-10	2.2699881594087e-08	TRUE	FALSE	FALSE
"ARHGEF34P"	-0.620810537179594	5.02781568173175	1.18907157364972e-10	2.31935016393565e-08	TRUE	FALSE	FALSE
"ACTN1"	-0.541123397697095	9.42151633968894	1.28724371876299e-10	2.48780515407901e-08	TRUE	FALSE	FALSE
"DLX5"	-0.527499796274789	6.07023493888662	1.3714449854146e-10	2.62644182388581e-08	TRUE	FALSE	FALSE
"SWAP70"	-0.479768646708575	6.72594186690146	2.42826690320369e-10	4.60845680926927e-08	TRUE	FALSE	FALSE
"SEC24D"	-0.588036362323421	6.77689250142332	3.25965216000507e-10	6.13105646452382e-08	TRUE	FALSE	FALSE
"GALNT1"	0.631340924490684	5.81390969242492	3.29020978853723e-10	6.13376631905534e-08	TRUE	FALSE	FALSE
"TRAK1"	-0.448586348491366	7.59219195743264	3.65779990632668e-10	6.75922919532262e-08	TRUE	FALSE	FALSE
"SVIP"	0.905735747184699	3.15402406306982	3.7264497626103e-10	6.82620788688248e-08	TRUE	FALSE	FALSE
"MACF1"	-0.529305209670043	7.92911600678577	3.94587237385145e-10	7.16584029547885e-08	TRUE	FALSE	FALSE
"GCH1"	-0.471679821364784	5.71306943837854	4.04343834311839e-10	7.28026257573778e-08	TRUE	FALSE	FALSE
"ACKR3"	-0.626698183994555	4.49563808874359	4.34968961317895e-10	7.7653018128159e-08	TRUE	FALSE	FALSE
"HMGN4"	0.567792824772947	4.87362037782797	4.53516643131626e-10	8.01590161884298e-08	TRUE	FALSE	FALSE
"AP001626.1"	-0.715494649341306	3.934420511666	4.5661644083412e-10	8.01590161884298e-08	TRUE	FALSE	FALSE
"STBD1"	-0.528114466700188	6.3081573021027	5.50752639861372e-10	9.58855794323939e-08	TRUE	FALSE	FALSE
"PPME1"	-0.43283062799936	6.98786076124415	5.92194329110316e-10	1.02255456860967e-07	TRUE	FALSE	FALSE
"CSRNP1"	-0.503853464236586	5.49482365107018	6.17486135915542e-10	1.05755796253633e-07	TRUE	FALSE	FALSE
"EPAS1"	-0.520046802346942	8.55353970767577	6.43944581872595e-10	1.09397875497807e-07	TRUE	FALSE	FALSE
"ETS2"	-0.478239874893641	7.48275613269511	6.99113871586627e-10	1.17820262550751e-07	TRUE	FALSE	FALSE
"IRF2BP2"	-0.495948439848427	7.79122666628835	7.07886226563816e-10	1.18351835307884e-07	TRUE	FALSE	FALSE
"ERVH48-1"	-0.429607395412275	9.65738791909409	7.74858262339975e-10	1.28528851609873e-07	TRUE	FALSE	FALSE
"UBASH3B"	-0.514866625838205	6.67042050551949	8.89933069874394e-10	1.46463516015422e-07	TRUE	FALSE	FALSE
"LONP1"	-0.46926166427813	7.23285753462406	1.02640603404236e-09	1.67292832522924e-07	TRUE	FALSE	FALSE
"IL17RD"	1.09791818808954	1.77948148805904	1.03237768100162e-09	1.67292832522924e-07	TRUE	FALSE	FALSE
"COL27A1"	-0.477437329468146	7.20980678913726	1.04953323981051e-09	1.68774559006474e-07	TRUE	FALSE	FALSE
"GGH"	0.553974508835258	5.63186475319594	1.12030395756e-09	1.78790327045144e-07	TRUE	FALSE	FALSE
"STK24"	-0.502500674171804	7.83941369369231	1.27351269544379e-09	2.01712920618187e-07	TRUE	FALSE	FALSE
"FOXO1"	-0.558918631648067	5.44983776822238	1.3193035730829e-09	2.07406336347495e-07	TRUE	FALSE	FALSE
"INPP5D"	-0.849247103582881	4.3977057960203	1.33758366707318e-09	2.0871227474905e-07	TRUE	FALSE	FALSE
