"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"SOX15"	-1.47303852329882	3.49352654628654	9.66504677572216e-46	1.55422805631575e-43	TRUE	TRUE	FALSE
"GCH1"	-0.750233844152182	5.71306943837854	1.08104351174759e-45	1.72524716806626e-43	TRUE	FALSE	FALSE
"DENND1A"	-0.753350725721121	7.4800809933167	1.1039550676808e-45	1.74856522223787e-43	TRUE	FALSE	FALSE
"RGL1"	-0.791484297923035	4.98618737455761	1.87471356636911e-45	2.9423667475179e-43	TRUE	FALSE	FALSE
"DNAJC6"	-0.875558729827914	5.60144493384499	1.88559532381523e-45	2.9423667475179e-43	TRUE	FALSE	FALSE
"ERRFI1"	-0.835420687591839	9.024991820268	4.03245967478273e-45	6.24616143448331e-43	TRUE	FALSE	FALSE
"GAS6"	1.05928105618931	3.86716166222008	4.54505981148565e-45	6.98877591158808e-43	TRUE	FALSE	FALSE
"UCA1"	-1.19094354562469	4.1370224825965	5.91703179248173e-45	9.03247766234928e-43	TRUE	FALSE	FALSE
"HERC3"	-1.00391107339974	5.92272676247599	7.17311232300284e-45	1.08711355536962e-42	TRUE	FALSE	FALSE
"EFNA3"	-0.927743434280932	6.04097157282465	7.29475807902559e-45	1.09765266923395e-42	TRUE	FALSE	FALSE
"ACTA1"	-2.61610780699412	1.54584162430542	8.04198550895736e-45	1.20150685625316e-42	TRUE	TRUE	TRUE
"PCIF1"	-0.729758778625704	5.96801838590672	1.02934075000861e-44	1.52704874927334e-42	TRUE	FALSE	FALSE
"CYP4F22"	-2.46491680183594	2.00886549032253	1.06132805812855e-44	1.56349208898854e-42	TRUE	TRUE	TRUE
"PLEKHA2"	-1.02232304590456	5.64874616454766	2.02082158739179e-44	2.95629358055524e-42	TRUE	FALSE	FALSE
"MAP2K6"	1.09262637788327	4.35980128392205	6.69471188094146e-44	9.72626210233881e-42	TRUE	FALSE	FALSE
"PCSK5"	-0.790257992131154	5.99210041001105	8.33936412390737e-44	1.20326742900159e-41	TRUE	FALSE	FALSE
