"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"RNF10"	12612.2766319332	0.0707587897484568	0.0447373645521583	1.5816485941178	0.113729814048335	0.272954441358864	FALSE	FALSE	FALSE
"ZNF839"	1797.71002300629	-0.0146414366697031	0.065682401480776	-0.222912627121108	0.823603508618641	0.911552270384369	FALSE	FALSE	FALSE
"ZDHHC6"	2621.00862571936	-0.168128477891082	0.0708442566526753	-2.3732125345793	0.0176341136890424	0.0673621054491795	FALSE	FALSE	FALSE
"GRAMD1B"	2137.303477005	-0.613846575033535	0.0706614485714791	-8.6871496048172	3.71646562409983e-18	4.3370236187412e-16	TRUE	FALSE	FALSE
"RNH1"	2376.65427705651	-0.720681201575566	0.418418634360638	-1.7223927004991	0.0849984050963349	0.220818310889956	FALSE	FALSE	FALSE
"NDUFS1"	6878.91665976463	0.0808291873884095	0.0629604208321053	1.28380951588545	0.199208613198348	0.399749371883533	FALSE	FALSE	FALSE
"RB1CC1"	2596.79822390711	0.181861118302384	0.0760620974916804	2.39095586763533	0.0168045727075822	0.0648347851095594	FALSE	FALSE	FALSE
"ERP44"	5026.48773684553	0.0816666200949132	0.0660219112856681	1.23696237362097	0.216101051798032	0.421608914782434	FALSE	FALSE	FALSE
"ALAS1"	4890.09147803758	0.219941619115284	0.0543691955642137	4.04533517247865	5.22483165681022e-05	0.000528493539176015	TRUE	FALSE	FALSE
"BIRC3"	47.4559090304459	-0.466614744174815	0.301777668843217	-1.54622025534048	0.122051383273433	0.28745252283347	FALSE	FALSE	FALSE
"AKAP11"	2223.94223680476	0.188494672578545	0.0696762331646764	2.70529367069897	0.0068244028465882	0.0319107929296933	TRUE	FALSE	FALSE
"GLRX2"	527.966099206833	0.183918118566403	0.106798500424054	1.72210394187314	0.0850506911747804	0.220923786295579	FALSE	FALSE	FALSE
"SNAPC1"	1505.02793167534	-0.149517015675082	0.0850081489270908	-1.75885509286079	0.0786021243681086	0.209027030690546	FALSE	FALSE	FALSE
"DERA"	3051.96183664688	-0.0307591243812965	0.0571622057128864	-0.538102475187767	0.590506303739415	0.772241399570673	FALSE	FALSE	FALSE
"STRAP"	9877.44351609012	-0.0149044865459985	0.0506415315272272	-0.294313503097457	0.768518355378288	0.882771866783517	FALSE	FALSE	FALSE
"ABCC2"	76.6839118700474	-0.455517316852643	0.234782975365761	-1.94016331952096	0.0523598447484545	0.155296966578213	FALSE	FALSE	FALSE
"DEF6"	3402.19743380802	0.0133012690863028	0.0518320508134595	0.256622473499521	0.797470224511366	0.89749818992662	FALSE	FALSE	FALSE
"PLEKHO1"	165.553787933375	-0.32238658040958	0.155783366125437	-2.0694544509328	0.0385034613999057	0.123207646478783	FALSE	FALSE	FALSE
"GCLM"	1021.29367172698	0.0751056324197018	0.0764605007802734	0.982280153193541	0.325961849319806	0.547371536808575	FALSE	FALSE	FALSE
"UBR2"	4056.33235704061	0.158163504428484	0.0577977318034718	2.7365001963448	0.00620965579084312	0.0296223928150112	TRUE	FALSE	FALSE
"EHD2"	42.1498191361362	-1.02268067715779	0.314845536102464	-3.24819811586901	0.00116138375228233	0.00748839012172494	TRUE	FALSE	FALSE
