"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"AKR1B1"	-0.596924558158857	9.3626314794552	-12.674223714916	1.35118692301178e-10	4.90760408968381e-08	14.4547921078066	TRUE	FALSE	FALSE
"ZNF532"	-0.830472096331947	4.38804933958426	-12.5908746667745	1.5091387256556e-10	5.23574783269024e-08	14.4480418507622	TRUE	FALSE	FALSE
"GPR87"	-0.679755789582346	4.88728473740767	-12.5875825046903	1.51576145633803e-10	5.23574783269024e-08	14.4363405737253	TRUE	FALSE	FALSE
"ABCA4"	-0.671414610816369	5.27613321301427	-12.5513673810571	1.59065727376899e-10	5.23574783269024e-08	14.3779278337619	TRUE	FALSE	FALSE
"GDF15"	-0.748877934269236	7.35877360698505	-12.58186015165	1.52734549126047e-10	5.23574783269024e-08	14.363330140447	TRUE	FALSE	FALSE
"PLEKHA6"	-0.625708492426881	6.75951796664851	-12.5686450123324	1.55445344305913e-10	5.23574783269024e-08	14.3619499646932	TRUE	FALSE	FALSE
"FOSL2"	-0.594758048996097	9.28161071728833	-12.5536303988095	1.58586544956725e-10	5.23574783269024e-08	14.2918999320704	TRUE	FALSE	FALSE
"PLCD4"	-0.867621019759024	3.45282153993087	-12.4263858090137	1.8803348323497e-10	6.00168690579983e-08	14.2173828056101	TRUE	FALSE	FALSE
"OLFML1"	-0.724602635430506	4.4403050547369	-12.2477413196384	2.39390746093687e-10	7.41618449589649e-08	13.9911787727899	TRUE	FALSE	FALSE
"RASAL1"	-1.26550551126723	1.98093804846476	-12.4881612967006	1.73080925680742e-10	5.60941966213926e-08	13.8577303761251	TRUE	TRUE	FALSE
"SAA1"	-1.46382831045579	2.17231639260394	-12.34909200533	2.08671041303487e-10	6.56099127776009e-08	13.8102833749264	TRUE	TRUE	FALSE
"EDN2"	-1.84678709092565	1.03737446756954	-12.8613839583936	1.05637738088245e-10	4.27954728955186e-08	13.7140162709207	TRUE	TRUE	TRUE
"ADGRE2"	-0.77638452807637	5.4889070756596	-12.0629295076768	3.08234382265898e-10	9.2760935668763e-08	13.7014943712674	TRUE	FALSE	FALSE
"GPRC5A"	-1.20683151170335	4.14686332712548	-12.018362272219	3.27756100678668e-10	9.57966644235572e-08	13.6814867086077	TRUE	TRUE	FALSE
"AIM1"	-0.787477473811228	4.74180464041755	-12.0091200649492	3.31964136661904e-10	9.57966644235572e-08	13.6589097846964	TRUE	FALSE	FALSE
"NOL4L"	-0.779593463258787	4.9541336142451	-11.9985751425413	3.36834499339301e-10	9.58885886902935e-08	13.6287032782247	TRUE	FALSE	FALSE
"AC090505.6"	-1.14363425382332	2.39749009350559	-12.0812717968457	3.00557275841179e-10	9.17614430850765e-08	13.5891770560493	TRUE	FALSE	FALSE
"RP11-800A3.4"	-1.22846324542737	2.55633421487146	-12.0288578557645	3.23045052158808e-10	9.57966644235572e-08	13.5417535148019	TRUE	TRUE	FALSE
"DPEP1"	-0.720164362458986	6.63215742478056	-11.9413127642893	3.64621045737655e-10	1.02414759326793e-07	13.4959525967881	TRUE	FALSE	FALSE
"TNFRSF19"	-0.896057590667469	2.81211467101409	-11.8887077236085	3.92266188222002e-10	1.08729993698483e-07	13.4443898422107	TRUE	FALSE	FALSE
"ALPL"	-0.746010516573029	3.90369237781013	-11.7941362382543	4.47627424854574e-10	1.22463887428395e-07	13.3748666393732	TRUE	FALSE	FALSE
"NLRP9"	-1.33979828897951	3.13288316463004	-11.7203066552742	4.96507818737236e-10	1.34095303968187e-07	13.2510547140058	TRUE	TRUE	FALSE
"CSRNP2"	0.547608006632625	5.49801618667783	11.6979896635966	5.1235931188369e-10	1.36624826128378e-07	13.1934796254843	TRUE	FALSE	FALSE
"CASQ1"	-0.644292392850401	4.78859322265293	-11.6365663244237	5.58783926867057e-10	1.47141777542268e-07	13.1328920633269	TRUE	FALSE	FALSE
"FOSL1"	-0.846545118152571	3.54946918915559	-11.5488610534087	6.32845678571371e-10	1.63250683972122e-07	13.0295051031978	TRUE	FALSE	FALSE
"PLA2G2F"	-0.890275800088061	3.14990630429212	-11.5459670883171	6.35457898305992e-10	1.63250683972122e-07	13.0169427370261	TRUE	FALSE	FALSE
"JADE2"	-0.682186024484742	5.61795980335933	-11.4361950826078	7.43361241079473e-10	1.86424379816431e-07	12.8197504296858	TRUE	FALSE	FALSE
"NAV2"	-0.645444564466049	8.04999250612354	-11.4381806492566	7.41247838858607e-10	1.86424379816431e-07	12.7416699748113	TRUE	FALSE	FALSE
"SERPINB9"	-0.57979132343768	9.41116175190379	-11.372286889596	8.14864373284583e-10	2.01952151618977e-07	12.6216552289112	TRUE	FALSE	FALSE
"SPNS3"	-0.811799141524394	3.07261939692315	-11.2392294674386	9.87819611753529e-10	2.36470544786362e-07	12.5780034857301	TRUE	FALSE	FALSE
"C1orf21"	-0.528909706062958	5.90422594282057	-11.241631732222	9.84377776758151e-10	2.36470544786362e-07	12.5197885084073	TRUE	FALSE	FALSE
"NPAS2"	-0.546824060188968	5.26509229955931	-11.2222173357311	1.01255687402115e-09	2.39668798967748e-07	12.5091344440819	TRUE	FALSE	FALSE
"RP5-1065P14.2"	-0.602876220002493	4.52635305814934	-11.1072486714568	1.19766965864466e-09	2.80334544766759e-07	12.3802645555929	TRUE	FALSE	FALSE
"KRT17"	-0.740738697417314	4.38020815205513	-11.0780634811694	1.25008012628673e-09	2.86241173264743e-07	12.3298528144235	TRUE	FALSE	FALSE
"ANXA8"	-0.712070660380175	4.81280339899977	-11.0797812945105	1.24692980414853e-09	2.86241173264743e-07	12.3253290146148	TRUE	FALSE	FALSE
"SPRY4"	-0.923862968685257	2.74061307523599	-11.0244544098879	1.35269834157873e-09	3.03148332592527e-07	12.2756533639399	TRUE	FALSE	FALSE
"GRM4"	-0.520443779049886	6.41735139519688	-11.0085450006018	1.38481940578739e-09	3.07080058971759e-07	12.148891604018	TRUE	FALSE	FALSE
"CYGB"	-1.03472387052575	2.27452545227001	-11.0652255337011	1.27388906410882e-09	2.88556419618455e-07	12.1380049175241	TRUE	FALSE	FALSE
"IL6"	-1.7740546235505	1.02599813083439	-11.3370788738865	8.57298126107372e-10	2.09998166564859e-07	12.1015962335731	TRUE	TRUE	TRUE
"CDYL2"	-0.544363682705669	5.98910679396554	-10.9496211713041	1.51090871590268e-09	3.28131989785627e-07	12.0756540840968	TRUE	FALSE	FALSE
"TRIP6"	-0.495257200098212	6.83689989299195	-10.8903119883625	1.65000221634485e-09	3.5110047161132e-07	11.9590972093767	TRUE	FALSE	FALSE
"TMEM91"	-0.774063273335163	4.35043909639873	-10.8077831137802	1.86621970304225e-09	3.89245388755326e-07	11.9448475853817	TRUE	FALSE	FALSE
"SLC41A1"	-0.527453337775422	5.73205650059373	-10.8360242478083	1.78907560407681e-09	3.76886666754822e-07	11.9159431101708	TRUE	FALSE	FALSE
"CLDN4"	0.552096637543293	9.71591760601826	10.9031565825867	1.6187820942918e-09	3.47972077534194e-07	11.9158691349537	TRUE	FALSE	FALSE
"FRMPD2"	-0.726817366494678	3.80028320213316	-10.739281299019	2.06814818703884e-09	4.27133428511375e-07	11.8636708015399	TRUE	FALSE	FALSE
"PLEKHA2"	-0.695111961403555	5.59739968516219	-10.7030448420897	2.1840840913468e-09	4.46698208430212e-07	11.7176678023266	TRUE	FALSE	FALSE
"TUBB3"	1.0807158530548	2.3004513004325	10.6728802070424	2.28577233172973e-09	4.63000768655948e-07	11.5821609956267	TRUE	FALSE	FALSE
"OBSCN"	-0.484964981218969	7.2738720390561	-10.6180939597652	2.4833251680066e-09	4.98225980849781e-07	11.5295162772961	TRUE	FALSE	FALSE
"GBP2"	-0.712660337391185	3.98575321177311	-10.493519364005	3.00193490219645e-09	5.96592081600665e-07	11.4838543288069	TRUE	FALSE	FALSE
"EPHA2"	-1.52224490415757	0.630833344958343	-10.9660709391455	1.4745440046262e-09	3.23570250015163e-07	11.4291629316281	TRUE	TRUE	TRUE
"TMOD1"	-0.798871766732655	4.14742740863331	-10.4455733293017	3.23066918012959e-09	6.30159971746388e-07	11.3932203713913	TRUE	FALSE	FALSE
"HSPD1P6"	-1.12809350210352	2.12145782530756	-10.4789229007349	3.06972070657209e-09	6.04362022473343e-07	11.3315765843168	TRUE	FALSE	FALSE
"FYTTD1"	0.633855184273477	4.15233875482502	10.293950408671	4.08174592332594e-09	7.67732675185574e-07	11.1869322511536	TRUE	FALSE	FALSE
"TSKU"	-0.517747707094656	6.44170885950784	-10.3355110747004	3.82739200270399e-09	7.39704953476719e-07	11.1147153059062	TRUE	FALSE	FALSE
"DENND4B"	-0.462484009734426	5.66073565959775	-10.2751655906896	4.20244845825754e-09	7.76568238786432e-07	11.0608483861527	TRUE	FALSE	FALSE
"ARL6IP5"	-0.409709278082734	6.83983291482378	-10.2790903793895	4.17692489145544e-09	7.76568238786432e-07	11.0130810096397	TRUE	FALSE	FALSE
