"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"ADGRE2"	-1.21749082596322	5.4889070756596	-18.0275586208629	3.09862603038039e-13	1.036121523111e-10	20.5845156800679	TRUE	TRUE	FALSE
"TGM2"	-1.52299809150443	2.93801546836298	-18.3346260329679	2.29941974508794e-13	8.6499243482183e-11	20.5495515646165	TRUE	TRUE	TRUE
"NPAS2"	-0.916082843758415	5.26509229955931	-17.9888841906912	3.21829672376908e-13	1.05932248098311e-10	20.5468367844088	TRUE	FALSE	FALSE
"ETV4"	-1.19010270882754	3.56208114359575	-18.1117173275402	2.85408414539362e-13	9.69744138820354e-11	20.5304961940626	TRUE	FALSE	FALSE
"LDLRAD3"	-0.95886482348295	6.73971363526494	-17.9218662823233	3.43731326692396e-13	1.11400678893877e-10	20.4675412151326	TRUE	FALSE	FALSE
"NECTIN4"	-0.843724284424503	10.1070029366522	-17.8382822723901	3.73262694033389e-13	1.1736047630608e-10	20.3404020218328	TRUE	FALSE	FALSE
"PLCD4"	-1.40159626660746	3.45282153993087	-17.8880351126295	3.55377162230531e-13	1.13429928781036e-10	20.2906777787345	TRUE	TRUE	FALSE
"PALM2-AKAP2"	-1.19376885469544	6.86691452040649	-17.7051334739772	4.25939344164387e-13	1.26378003157281e-10	20.2498813700545	TRUE	FALSE	FALSE
"VAX2"	1.0806271261313	3.69633469619524	17.7114928094776	4.23253646700812e-13	1.26378003157281e-10	20.2255969323915	TRUE	FALSE	FALSE
"MEX3B"	-0.886982171460975	5.49524953400393	-17.5889435164362	4.7829325018087e-13	1.34343008110803e-10	20.1519403167048	TRUE	FALSE	FALSE
"ITGA6"	-0.735030958649062	8.48468222738954	-17.6263544480409	4.60735119344918e-13	1.34343008110803e-10	20.1464682290988	TRUE	FALSE	FALSE
"FYTTD1"	1.06741132023006	4.15233875482502	17.6029671898085	4.71630516227606e-13	1.34343008110803e-10	20.1359528795858	TRUE	FALSE	FALSE
"ATP6V1B1"	1.09930471220319	3.60589913682382	17.5989022026778	4.73551720325678e-13	1.34343008110803e-10	20.1113492669365	TRUE	FALSE	FALSE
"PLA2G2F"	-1.60248713567753	3.14990630429212	-17.8127795617288	3.82794960968729e-13	1.18587627173048e-10	20.0981805680783	TRUE	TRUE	TRUE
"ADCY5"	-2.27322843722379	2.20997422240328	-18.5600439863501	1.85247489203975e-13	7.45455970190088e-11	20.0788389783033	TRUE	TRUE	TRUE
"TNFSF10"	-0.91698467880104	7.54080361751558	-17.5278102650867	5.08514465698622e-13	1.40136808822819e-10	20.0588146311022	TRUE	FALSE	FALSE
"MACF1"	-0.90385611258742	7.89216776587345	-17.5205684957035	5.12225115321231e-13	1.40136808822819e-10	20.0480716476332	TRUE	FALSE	FALSE
"STBD1"	-0.921923296733385	6.27170653302033	-17.4626930641332	5.42922203015349e-13	1.4477467251546e-10	20.0136196818221	TRUE	FALSE	FALSE
"TRIB1"	-0.818596140757017	6.0624287658882	-17.4393413154963	5.55849822844236e-13	1.4513483335612e-10	19.9937441139444	TRUE	FALSE	FALSE
"CEBPD"	-1.225671732409	6.02730728953721	-17.4354205221965	5.58051908375852e-13	1.4513483335612e-10	19.9919322880234	TRUE	TRUE	FALSE
"SMPD1"	1.54249620288878	2.58148000711635	17.7143411991355	4.22056479847454e-13	1.26378003157281e-10	19.8881826833259	TRUE	TRUE	TRUE
