"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"ALPL"	-0.741319101432055	3.95048987895065	1.93392189782302e-22	4.73720915110927e-20	TRUE	FALSE	FALSE
"KRT17"	-0.747483774501746	4.49847282051379	2.24395043549099e-22	5.43345515793714e-20	TRUE	FALSE	FALSE
"TUBB3"	1.07536551579312	2.38973336155201	2.43400757017851e-22	5.82668221288414e-20	TRUE	FALSE	FALSE
"C1orf21"	-0.528019603418877	5.91628184785798	2.53437788480817e-22	5.99878702487291e-20	TRUE	FALSE	FALSE
"CYGB"	-1.03377309394771	2.32834288625747	2.71376576691054e-22	6.35202107174861e-20	TRUE	FALSE	FALSE
"PLA2G2F"	-0.892083167042535	3.26101534593271	4.93117601856387e-22	1.14154015392381e-19	TRUE	FALSE	FALSE
"GRM4"	-0.520605838640605	6.44273964073053	1.2904886248982e-21	2.95493841001146e-19	TRUE	FALSE	FALSE
"CDYL2"	-0.544546119234646	6.02196909104639	1.49581416479187e-21	3.38557091331959e-19	TRUE	FALSE	FALSE
"NPAS2"	-0.544954632296944	5.30159222516802	1.51069811949132e-21	3.38557091331959e-19	TRUE	FALSE	FALSE
"CACNA1D"	-1.50771884925842	1.59000542321917	2.25612141619206e-21	5.00288986878967e-19	TRUE	TRUE	TRUE
"PLEKHA2"	-0.687288965998716	5.64874616454766	2.43394100437804e-21	5.34097929148206e-19	TRUE	FALSE	FALSE
"SLC41A1"	-0.527478352570657	5.75242309106639	5.74249889070354e-21	1.24712867661403e-18	TRUE	FALSE	FALSE
"HSPD1P6"	-1.13403111933543	2.17806512728444	6.13044231257023e-21	1.31779487506739e-18	TRUE	FALSE	FALSE
"CLDN4"	0.553102788549076	9.73060877886503	6.877262715815e-21	1.46339814516524e-18	TRUE	FALSE	FALSE
"RP5-1065P14.2"	-0.603506851591349	4.55038986091748	7.06915408753621e-21	1.48918800008038e-18	TRUE	FALSE	FALSE
"TRIP6"	-0.495000940451682	6.85387448745329	7.30278965195925e-21	1.52238710436253e-18	TRUE	FALSE	FALSE
"TMEM91"	-0.771158277520626	4.3895551736223	7.37128475481717e-21	1.52238710436253e-18	TRUE	FALSE	FALSE
"TMOD1"	-0.798777623786977	4.26757394493508	1.55175031255975e-20	3.17370602761006e-18	TRUE	FALSE	FALSE
"SPNS3"	-0.806187587309573	3.11752792772764	1.5776311540471e-20	3.19561325876501e-18	TRUE	FALSE	FALSE
"EPHA2"	-1.51484210599266	0.86311009641918	1.66743101036932e-20	3.34534301566095e-18	TRUE	TRUE	TRUE
"STXBP1"	0.599936386992211	5.3524431980013	1.91618306970466e-20	3.80814269305646e-18	TRUE	FALSE	FALSE
"CLEC1A"	-0.766625256010002	5.33860427419973	4.64583402648455e-20	9.14664856092743e-18	TRUE	FALSE	FALSE
"OBSCN"	-0.485884574761931	7.29852437880536	5.81137735288747e-20	1.13354143811044e-17	TRUE	FALSE	FALSE
"SPRY4"	-0.923656690889711	2.94357157275221	7.47061252604599e-20	1.44381581168518e-17	TRUE	FALSE	FALSE
"SYNE1"	-1.47346807783904	1.24198152758265	1.19384660846153e-19	2.2863247867137e-17	TRUE	TRUE	FALSE
"TSKU"	-0.517780226512527	6.4657760055078	1.22269205491967e-19	2.32047124585024e-17	TRUE	FALSE	FALSE
"NDRG1"	-0.590291871347981	8.87293260061757	1.3095929547261e-19	2.46320403430894e-17	TRUE	FALSE	FALSE
"FRMPD2"	-0.725920124381918	3.84308050888756	1.44254786805877e-19	2.68926667155097e-17	TRUE	FALSE	FALSE
"PALM3"	-0.56546294302881	5.55421156702125	1.71909703923072e-19	3.17671037091529e-17	TRUE	FALSE	FALSE
"HIST1H2BD"	1.00400770787048	2.88122872839526	2.31101151659183e-19	4.23337118334988e-17	TRUE	FALSE	FALSE
"FYTTD1"	0.631802294937701	4.20322585483837	3.26562691667387e-19	5.93049108850445e-17	TRUE	FALSE	FALSE
"GBP2"	-0.712970581178715	4.02179221842961	3.80044987180664e-19	6.84275871790416e-17	TRUE	FALSE	FALSE
"ANGPT4"	-0.557446424873235	7.1528510596394	4.49549059825797e-19	8.02559363922902e-17	TRUE	FALSE	FALSE
"SCARA3"	-0.525864263866139	5.55828732194563	5.61852786850572e-19	9.94621076285222e-17	TRUE	FALSE	FALSE
"FOXO1"	-0.563159666853207	5.44983776822238	7.54346510905929e-19	1.32425529989536e-16	TRUE	FALSE	FALSE
