"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"CD6"	7.17999451663137	-0.861676756170259	0.861537328227932	-1.00016183621737	0.317232194946817	0.453385930015876	FALSE	FALSE	FALSE
"TACC3"	4214.89871506527	0.339917529027792	0.0503205588364782	6.75504280730245	1.42793090369107e-11	1.6119401713911e-10	TRUE	FALSE	FALSE
"UFL1"	4680.49251071579	0.160776984730756	0.0846494160641025	1.89932774738817	0.0575213967964009	0.117913076571777	FALSE	FALSE	FALSE
"POLA2"	2706.46381794746	-0.190013900994199	0.0677489543576635	-2.80467651192177	0.00503671011732919	0.0144729946905513	TRUE	FALSE	FALSE
"ZC3H3"	1572.72749649989	0.180695026128758	0.0807512070502711	2.23767585314567	0.0252422010265377	0.0590912241665371	FALSE	FALSE	FALSE
"CAPN1"	30342.5547875257	-0.261984780361927	0.0491027590664729	-5.33543909431371	9.53136192364521e-08	6.48234414406525e-07	TRUE	FALSE	FALSE
"ACPP"	31.0428487138216	0.513108338712272	0.394914787069608	1.29928874661721	0.193844854866826	0.312359253678644	FALSE	FALSE	FALSE
"MDH1"	16971.6871612669	0.0292794770879888	0.061889505900598	0.473092758811408	0.636147002712164	0.746568180320196	FALSE	FALSE	FALSE
"SLC30A9"	3413.39117361491	0.203554879818413	0.064974647127211	3.13283547996624	0.00173126453174168	0.0055535651918716	TRUE	FALSE	FALSE
"MTMR11"	1807.77165146831	-0.864389646726172	0.0853759163193305	-10.1245138440811	4.30110796633835e-24	1.56219921429786e-22	TRUE	FALSE	FALSE
"COX15"	3992.18453050352	-0.11925660699401	0.0511367866678385	-2.33210991078981	0.0196949098074976	0.0477628519682898	TRUE	FALSE	FALSE
"CCDC88C"	15717.065774491	-0.0225071941226033	0.0482828863883021	-0.466152622724236	0.641106258717984	0.750714391565867	FALSE	FALSE	FALSE
"YAF2"	502.172677182059	0.229485197609366	0.0954899588840565	2.40323904514407	0.016250560734529	0.0404645515735992	TRUE	FALSE	FALSE
"ZMYND11"	5120.5875927777	-0.357499921839863	0.0680687929045555	-5.25203851258449	1.50424998327668e-07	9.89686718089945e-07	TRUE	FALSE	FALSE
"WAS"	10.5365124273975	0.544393218621143	0.641305401895364	0.848882945648362	0.395946429504531	0.533549662560963	FALSE	FALSE	FALSE
"DPEP1"	9381.00598905671	-1.19150999884346	0.0641459346735086	-18.5749884993965	5.12160757445482e-77	2.54531404724613e-74	TRUE	FALSE	FALSE
"BID"	47.7842595060865	-0.295152644245764	0.286783874439964	-1.02918145178888	0.303394416623494	0.438592737362208	FALSE	FALSE	FALSE
"MATR3"	30218.2023454975	0.170290964202416	0.0706904874267657	2.40896576613416	0.0159977985179213	0.0399327627834331	TRUE	FALSE	FALSE
"NPC1L1"	65.7030663595865	-1.83454842585575	0.270634829071801	-6.77868562648686	1.21274089247598e-11	1.38203626538538e-10	TRUE	TRUE	TRUE
"XYLT2"	3963.28369109489	0.314025653823618	0.063022228458327	4.98277610147133	6.26784617819659e-07	3.77181434515457e-06	TRUE	FALSE	FALSE
"RGPD5"	40.1780997017743	-0.0881690360826365	0.304081620242177	-0.28995187546165	0.771853054533391	0.850632085320411	FALSE	FALSE	FALSE
"NUDCD3"	4617.67282257754	-0.0395919233821748	0.0547592512890873	-0.723017982352597	0.46966883643343	0.603783735720352	FALSE	FALSE	FALSE
"ISL1"	21.0851582674601	0.80970806803428	0.437799551418414	1.84949496958352	0.0643863735097554	0.129907589527159	FALSE	FALSE	FALSE
"CHDH"	1317.5078322721	0.114154735070615	0.0695431882980121	1.64149412565657	0.100694885490923	0.186659296466799	FALSE	FALSE	FALSE
"GLT8D1"	4066.97453553667	0.322490729569912	0.0652969717370053	4.93883132695339	7.8592154363622e-07	4.65386148594351e-06	TRUE	FALSE	FALSE
"ATP2C1"	11119.5794281809	-0.0355210266591052	0.0493649483620002	-0.719559684305238	0.471796142011159	0.605631408673384	FALSE	FALSE	FALSE
"SLC38A5"	16.7185996806396	0.224058814971975	0.556149700492021	0.402875007886819	0.687040177711522	0.786865868194591	FALSE	FALSE	FALSE
"RALBP1"	23871.0050717453	-0.577773818675629	0.0544385542570138	-10.613320404283	2.58399714188672e-26	1.08336472763547e-24	TRUE	FALSE	FALSE
"RUFY3"	2530.20562102972	0.0445420042558393	0.0627377764491661	0.709971037815309	0.477722096411099	0.610745729481274	FALSE	FALSE	FALSE
"SLC11A1"	234.996846538692	-0.611584847990756	0.154507814306299	-3.95827777861344	7.54921318540217e-05	0.000321939656479185	TRUE	FALSE	FALSE
"WWTR1"	8814.09046784976	-0.246689644984377	0.0527678741179383	-4.67499684434918	2.93958139581564e-06	1.59561673128231e-05	TRUE	FALSE	FALSE
"AGPS"	5836.55001903048	0.0966027185289575	0.0490750163124423	1.96847043134788	0.0490139350273934	0.103012680775469	FALSE	FALSE	FALSE
"CXorf56"	2970.33352580307	-0.0776519691717257	0.0592877804906785	-1.30974660425911	0.190281571956394	0.307663649435287	FALSE	FALSE	FALSE
"ATP1A2"	21.4415217764501	-2.10387912208414	0.497823347936172	-4.22615598646829	2.37717236752228e-05	0.000111426878676407	TRUE	TRUE	TRUE
"TTC27"	493.881806462317	-0.0421662642496852	0.10116002560683	-0.416827338632445	0.676804704225931	0.778468679272231	FALSE	FALSE	FALSE
"VSIG2"	7.59984564446227	-0.240054032451031	0.701602570211856	-0.342151016320457	0.732237246215562	0.821856790903146	FALSE	FALSE	FALSE
"PHLDB1"	2416.6265153505	-0.101998106631887	0.060528186178985	-1.68513403541076	0.091962714348722	0.173262345591268	FALSE	FALSE	FALSE
"PRDM11"	144.977390825584	0.429530594799759	0.166844383826757	2.57443843747095	0.0100402952576357	0.026610439147969	TRUE	FALSE	FALSE
"CD74"	11.0584006673852	2.00738093614274	0.639456344572077	3.13919934203808	0.0016941016050443	0.00544893674891597	TRUE	TRUE	TRUE
"ZRANB1"	2381.77612972176	0.0475429757464692	0.0528390517827794	0.8997696616873	0.368242842653919	0.505784709262977	FALSE	FALSE	FALSE
"NCDN"	1507.75024361672	0.280581569700863	0.0713966932366919	3.92989586745549	8.49826573553673e-05	0.00035912739611313	TRUE	FALSE	FALSE
"ADGRA2"	331.753006581659	-0.480908504273293	0.147924127113034	-3.25104845070889	0.00114980261247818	0.00383820085711916	TRUE	FALSE	FALSE
"ZFP64"	5531.04999004061	-0.144399309037967	0.0640276773672607	-2.25526389485749	0.0241167694575811	0.0568096294182279	FALSE	FALSE	FALSE
"MNAT1"	2247.61661760967	0.0413476080115002	0.0793854486650466	0.520846184115673	0.602473927243534	0.719620654288894	FALSE	FALSE	FALSE
"SAMD4A"	4319.51079231071	-0.433551865789332	0.0633799347193093	-6.84052244151723	7.89048849029193e-12	9.19248676261797e-11	TRUE	FALSE	FALSE
"MRE11A"	3197.87517756139	0.0197698043507138	0.0713094683254612	0.27723954216687	0.78159617887214	0.857609248287492	FALSE	FALSE	FALSE
"PLEKHB1"	7.35690814081903	1.17807761619936	0.801071174140749	1.47062789703175	0.141391775254712	0.244235233349442	FALSE	FALSE	FALSE
"SERPINB1"	8079.17213506256	-0.306119415966104	0.0580075440917306	-5.27723455214757	1.31147978782301e-07	8.70446650054778e-07	TRUE	FALSE	FALSE
"SLC7A9"	2480.96081193951	-0.293549240216259	0.0678682640076259	-4.32527993029665	1.52338286023643e-05	7.3765325950992e-05	TRUE	FALSE	FALSE
"SPAST"	1861.23560921481	0.181322852665439	0.0626763516899339	2.89300266809499	0.00381578055695135	0.0113322175526076	TRUE	FALSE	FALSE
"AQR"	5081.49225654752	-0.0200233051024756	0.0553054591839537	-0.362049341926179	0.717315158462911	0.81046987184431	FALSE	FALSE	FALSE
