"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"PALM2-AKAP2"	-0.392309438344416	6.92795324328251	5.51102359042841e-08	1.28994692173294e-05	TRUE	FALSE	FALSE
"LCN9"	0.483790584716783	5.90326275708469	5.93745937760437e-08	1.37448922251224e-05	TRUE	FALSE	FALSE
"CALB2"	-0.4509520708903	4.73973749697217	6.01309735735901e-08	1.37686857532744e-05	TRUE	FALSE	FALSE
"STBD1"	-0.316308078599175	6.3081573021027	6.09634371315262e-08	1.38092017915347e-05	TRUE	FALSE	FALSE
"CSF2RB"	-0.472432419937858	3.36877118333605	7.3181898353531e-08	1.64005305395264e-05	TRUE	FALSE	FALSE
"TOMM34"	-0.309163733991353	6.56014393521318	8.0600370015443e-08	1.78729199446876e-05	TRUE	FALSE	FALSE
"PNKD"	-0.30966290552794	7.08329042491127	1.02451523445246e-07	2.24817061760161e-05	TRUE	FALSE	FALSE
"WNT7A"	-0.293634197265047	5.97227324473234	1.16897351113909e-07	2.53872123563464e-05	TRUE	FALSE	FALSE
"GDF15"	-0.349633071212718	7.42261032142579	1.19613182857814e-07	2.57119521437011e-05	TRUE	FALSE	FALSE
"CYP1A1"	-0.540753550477685	3.40460738657452	1.40463339045051e-07	2.98888959628591e-05	TRUE	FALSE	FALSE
"SCHIP1"	-0.364328519059409	4.51044214038669	1.51810866755785e-07	3.19596988083337e-05	TRUE	FALSE	FALSE
"NTN1"	-0.280575918381399	6.66893260787334	1.53229354392941e-07	3.19596988083337e-05	TRUE	FALSE	FALSE
"KRT7"	-0.268631545738163	7.60221653725751	1.75563507815958e-07	3.62590279965781e-05	TRUE	FALSE	FALSE
"ZNF532"	-0.389971279253474	4.43655398883064	1.8415072433938e-07	3.76632928051785e-05	TRUE	FALSE	FALSE
"MYL3"	-0.510994977699795	2.69197798453534	1.9157832370857e-07	3.8805663146584e-05	TRUE	FALSE	FALSE
"NOL4L"	-0.380160591304084	5.03810929985493	2.01042621720444e-07	4.03348939920274e-05	TRUE	FALSE	FALSE
"BTBD11"	2.00094595465932	-1.29622507914676	2.11581283278507e-07	4.19149898319103e-05	TRUE	TRUE	TRUE
"DLX5"	-0.292750558877482	6.07023493888662	2.13862381951481e-07	4.19149898319103e-05	TRUE	FALSE	FALSE
"HAPLN3"	-0.325854281121671	6.96632245801373	2.14887444310562e-07	4.19149898319103e-05	TRUE	FALSE	FALSE
