SYMBOL	CTRL_R1	CTRL_R2	CTRL_R3	DMSO	SMZ_R1	SMZ_R2	SMZ_R3	TMP_R1	TMP_R2	TMP_R3	CTX_R1	CTX_R2	CTX_R3
RP11-394I13.1	419.3199375	417.7136323	357.8124765	508.2011272	593.5208765	543.5468794	500.0051096	528.3558744	468.3888433	487.148054	479.0641312	479.1508527	482.911008
RP11-715J22.4	36.46260326	35.3828018	29.81770637	27.3778385	25.22795672	47.77267495	27.62951586	31.39819745	33.00726748	33.04298816	30.66673504	30.00553285	26.69357331
RP11-211G23.2	233.5885521	226.0567893	281.7259154	165.9781459	110.2063372	101.9150399	101.6053164	179.727613	206.6883654	236.9654294	168.2526274	211.9140758	282.7092082
RP11-483I13.5	30.7653215	26.53710135	27.76131283	42.77787266	49.12812624	53.08074994	41.88991114	34.64628684	41.65202801	33.04298816	43.92802587	18.75345803	26.69357331
AC009120.5	2.278912704	2.948566816	0	5.988902172	0	5.308074994	1.78254941	7.578875247	3.143549284	1.888170752	2.48649203	3.750691606	2.426688483
TAT-AS1	0	0.982855605	2.056393543	0	1.327787196	2.123229998	0	3.248089392	0.785887321	1.888170752	0	0.937672902	0
CTD-2026K11.1	6.836738112	1.965711211	2.056393543	6.844459625	3.983361587	1.061614999	8.021472346	7.578875247	10.21653517	16.99353677	2.48649203	11.25207482	15.77347514
CTD-2012K14.4	0	0.982855605	5.140983857	3.422229813	0	3.184844997	0	2.165392928	0	0	0	3.750691606	1.213344241
RP11-554A11.7	3.418369056	0	5.140983857	1.711114906	2.655574391	2.123229998	2.673824115	3.248089392	2.357661963	1.888170752	1.657661354	2.813018705	4.853376965
PRCAT47	3.418369056	0.982855605	0	9.411131985	5.311148783	9.55453499	5.34764823	3.248089392	5.501211247	3.776341504	1.657661354	2.813018705	0
ADPGK-AS1	3.418369056	1.965711211	1.028196771	0	9.29451037	0	1.78254941	1.082696464	0	0	1.657661354	0.937672902	0
RP11-2C24.4	1193.0108	1250.19233	1297.584326	1288.469524	1439.32132	1289.862224	1327.108036	1121.673537	1197.692277	1218.81422	1279.714565	1228.351501	1375.93237
LINC00565	5.69728176	9.828556055	11.31016449	4.277787266	5.311148783	10.61614999	12.47784587	5.413482319	5.501211247	11.32902451	18.23427489	11.25207482	7.280065448
RP11-196G11.2	2.278912704	6.879989238	7.1973774	4.277787266	6.638935978	4.246459995	5.34764823	3.248089392	5.501211247	9.44085376	9.117137445	6.563710311	9.706753931
RP11-363E7.4	2986.515098	3137.275093	2842.964073	3367.474136	3052.582763	3099.915797	3175.611774	2931.942024	3176.556551	3287.305279	2852.006359	2821.457761	3070.974275
RP11-343C2.11	3476.48133	3636.56574	3542.137878	3643.819193	4295.391578	4078.724826	4137.297181	4087.179151	3532.563508	3613.958819	3336.043474	3754.442298	3533.258431
CCPG1	1577.007591	1513.597632	1741.765331	2708.694897	3032.665955	2949.166467	3217.501685	2105.844622	2157.260696	2523.54021	2348.906138	1989.741897	1980.177802
RP11-57H14.4	218.7756196	308.6166601	249.8518155	261.8005807	277.5075239	294.0673547	266.4911368	264.1779372	249.1262807	262.4557345	275.1717847	292.5539453	296.0559949
CTD-3154N5.1	2.278912704	0	0	0	0	1.061614999	0	1.082696464	1.571774642	0.944085376	1.657661354	0.937672902	2.426688483
RP1-228H13.5	92.29596451	122.8569507	103.8478739	140.3114223	118.1730604	140.1331798	159.5381722	185.1410953	137.5302812	161.4385993	114.3786334	105.019365	141.9612762
AC137934.1	20.51021434	16.70854529	20.56393543	13.68891925	23.90016952	16.98583998	24.06441704	16.24044696	15.71774642	12.27310989	12.43246015	13.12742062	21.84019634
LINC01311	182.3130163	134.6512179	147.0321383	138.6003074	165.9733995	173.0432448	132.7999311	137.5024509	135.1726192	147.2773187	109.4056493	121.8974772	171.081538
RP11-380D11.2	0	0	0	0.855557453	1.327787196	4.246459995	0.891274705	2.165392928	3.143549284	5.664512256	0	0	1.213344241
RP11-459F6.3	265.49333	289.9424036	329.0229669	176.2448353	274.8519495	372.6268646	258.4696645	329.139725	318.284365	214.3073804	241.1897269	258.7977208	359.1498954
CTA-363E6.7	9.115650816	23.58853453	21.5921322	11.97780434	14.60565915	16.98583998	11.58657117	6.496178783	21.21895767	9.44085376	6.630645414	5.626037409	8.493409689
LINC00622	13.67347622	10.81141166	5.140983857	4.277787266	5.311148783	8.492919991	10.69529646	8.661571711	11.78830981	7.552683008	4.144153384	7.501383212	3.640032724
CAPN10-AS1	239.2858339	256.525313	304.3462443	368.7452623	346.5524581	340.7784146	376.1179255	253.3509726	316.7125903	261.5116492	275.1717847	282.2395434	323.9629124
RP11-552M11.8	10.25510717	24.57139014	19.53573866	35.93341303	23.90016952	29.72521997	11.58657117	23.81932221	22.79073231	25.49030515	24.8649203	13.12742062	10.92009817
KB-1836B5.1	0	4.914278027	8.225574171	4.277787266	0	2.123229998	1.78254941	7.578875247	2.357661963	3.776341504	0	0.937672902	1.213344241
LA16c-425C2.1	13.67347622	11.79426727	13.36655803	2.566672359	5.311148783	9.55453499	9.804021756	3.248089392	16.50363374	8.496768384	6.630645414	8.439056114	7.280065448
RP11-30L15.6	0	3.931422422	6.169180629	0.855557453	9.29451037	6.369689993	0.891274705	1.082696464	7.072985889	2.832256128	1.657661354	1.875345803	1.213344241
RP11-690D19.3	5.69728176	13.75997848	13.36655803	26.52228105	23.90016952	11.67776499	21.39059292	8.661571711	11.00242249	16.99353677	17.40544421	11.25207482	6.066721207
RP11-504A18.1	9.115650816	3.931422422	12.33836126	10.26668944	17.26123354	15.92422498	10.69529646	2.165392928	10.21653517	5.664512256	9.117137445	6.563710311	7.280065448
MKRN3-AS1	10.25510717	16.70854529	10.28196771	18.82226397	17.26123354	33.97167996	13.36912058	14.07505403	22.00484499	9.44085376	19.89193624	15.94043933	29.12026179
RP11-285A1.1	1.139456352	0.982855605	0	0	2.655574391	4.246459995	1.78254941	4.330785856	0	0.944085376	0	0	1.213344241
DOCK9-AS2	137.8742186	139.565496	134.6937771	149.7225543	156.6788891	154.9957898	160.4294469	155.9082908	181.5399711	171.8235384	162.4508127	178.1578513	188.0683574
RP11-521L9.1	0	1.965711211	6.169180629	1.711114906	5.311148783	5.308074994	2.673824115	2.165392928	1.571774642	0	2.48649203	4.688364508	2.426688483
RP11-546B15.1	11.39456352	15.72568969	21.5921322	14.5444767	19.91680794	42.46459995	19.60804351	17.32314342	20.43307034	7.552683008	15.74778286	14.06509352	44.89373693
LINC01572	499.0818822	464.8907014	460.6321536	538.145638	561.6539838	527.6226544	520.5044278	621.4677703	628.7098568	717.5048858	528.7939718	466.961105	544.7915644
RP11-96C23.11	381.7178779	377.4165525	395.855757	420.9342669	330.6190117	416.1530796	398.3997932	356.2071366	451.8852095	453.1609805	353.0818683	348.8143194	401.6169439
RP11-744K17.1	11.39456352	27.51995695	18.50754189	19.67782142	21.24459513	16.98583998	16.9342194	25.98471513	20.43307034	17.93762214	16.57661354	16.87811223	20.6268521
RP11-274H2.5	111.6667225	68.79989238	111.0452513	111.2224689	128.795358	92.3605049	100.7140417	79.03684186	72.30163353	61.36554944	136.7570617	89.07892565	83.72075265
SULT1A3	94.57487721	105.1655498	119.2708255	120.6336009	169.956761	180.4745498	136.3650299	76.87144894	79.37461942	118.010672	86.19839039	85.32823404	76.4406872
RP11-6O2.4	6.836738112	0.982855605	8.225574171	1.711114906	2.655574391	5.308074994	1.78254941	1.082696464	1.571774642	0.944085376	1.657661354	4.688364508	1.213344241
RP11-454F8.2	3.418369056	10.81141166	3.084590314	5.133344719	2.655574391	9.55453499	13.36912058	3.248089392	8.644760531	15.10536602	2.48649203	5.626037409	6.066721207
RP11-252E2.2	7.976194464	3.931422422	16.45114834	14.5444767	9.29451037	7.431304992	11.58657117	11.9096611	9.430647851	4.72042688	20.72076692	8.439056114	3.640032724
RP11-303E16.2	224.4729013	206.3996771	240.5980445	239.5560869	227.0516105	255.8492147	233.5139727	195.96806	219.2625625	237.9095148	222.9554521	236.2935712	224.4686846
RP11-538I12.2	3.418369056	0	7.1973774	6.844459625	6.638935978	5.308074994	7.130197641	7.578875247	8.644760531	3.776341504	0	5.626037409	2.426688483
RP11-1000B6.3	1.139456352	1.965711211	9.253770943	4.277787266	2.655574391	11.67776499	13.36912058	4.330785856	7.072985889	9.44085376	6.630645414	7.501383212	4.853376965
RP11-74C13.4	4.557825408	6.879989238	8.225574171	5.133344719	5.311148783	20.17068498	8.021472346	12.99235757	7.85887321	15.10536602	10.7747988	8.439056114	10.92009817
RP11-264B17.3	13374.93866	11842.42719	12309.57175	11366.93632	12803.85193	10971.79101	12156.0957	12370.8898	11024.42734	10986.32152	10872.60082	11768.73259	12496.23234
RP1-223E5.4	14.81293258	8.845700449	21.5921322	21.38893633	27.88353111	20.17068498	46.34628466	28.15010806	22.79073231	27.37847591	11.60362948	10.31440192	30.33360603
RP11-252A24.3	1.139456352	4.914278027	5.140983857	1.711114906	6.638935978	2.123229998	2.673824115	10.82696464	4.715323926	13.21719526	4.144153384	2.813018705	10.92009817
KB-1460A1.5	94.57487721	122.8569507	123.3836126	122.3447158	138.0898684	132.7018749	114.974437	122.3447004	113.1677742	131.2278673	113.5498027	142.526281	129.8278338
CTD-3126B10.1	13.67347622	18.6742565	14.3947548	12.8333618	11.95008476	26.54037497	16.04294469	11.9096611	23.57661963	15.10536602	23.20725895	14.06509352	16.98681938
RP11-355O1.11	161.802802	159.2226081	190.2164027	207.9004611	171.2845482	228.2472248	218.3623027	172.1487378	172.1093233	165.2149408	145.8741991	174.4071597	167.4415053
RP11-690I21.2	5.69728176	18.6742565	2.056393543	1.711114906	2.655574391	16.98583998	1.78254941	2.165392928	3.929436605	2.832256128	7.459476091	5.626037409	8.493409689
LINC00563	0	1.965711211	1.028196771	1.711114906	3.983361587	1.061614999	6.238922936	5.413482319	2.357661963	0.944085376	0.828830677	0	0
RP11-819C21.1	162.9422583	139.565496	146.0039415	148.0114394	135.434294	181.5361648	163.103271	158.0736837	147.7468163	160.4945139	149.1895218	168.7811223	148.0279974
RP4-545K15.5	0	8.845700449	3.084590314	4.277787266	1.327787196	1.061614999	0.891274705	4.330785856	3.929436605	0	5.801814738	3.750691606	1.213344241
RP11-734K21.5	561.7519815	586.7647965	618.9744564	667.3348134	661.2380235	702.7891292	667.5647541	436.3266749	488.8219136	461.6577489	582.6679658	496.0289649	521.7380238
LMO7-AS1	36.46260326	49.14278027	47.29705149	46.20010247	39.83361587	56.26559494	46.34628466	60.63100198	35.36492944	34.93115891	38.95504181	45.94597218	42.46704845
RP11-325K4.2	199.4048616	143.4969184	181.9908285	112.0780264	84.97838052	98.73019489	88.2361958	126.6754863	162.6786754	153.8859163	135.0994003	136.9002436	124.9744569
TMEM178B	4229.661978	4466.095871	3989.403473	3564.25235	2910.509533	3081.868342	3188.980895	4238.756656	3914.504746	3662.107174	4271.793308	4238.281515	4085.330061
RP3-523K23.2	1342.279583	1384.843548	1256.456455	1226.869388	1145.88035	1133.804819	987.5323732	1063.207928	1004.363996	979.9606203	1247.390169	1216.161753	1049.542769
