NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	136	99		
GOCC_CLATHRIN_COAT_OF_COATED_PIT	17	15		
GOCC_CLATHRIN_COMPLEX	6		Rejected!	
GOCC_CLATHRIN_SCULPTED_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT_VESICLE	8		Rejected!	
GOCC_CLATHRIN_SCULPTED_MONOAMINE_TRANSPORT_VESICLE	5		Rejected!	
GOCC_CLATHRIN_SCULPTED_VESICLE	12		Rejected!	
GOCC_CLATHRIN_VESICLE_COAT	34	31		
GOCC_CLEAVAGE_FURROW	54	49		
GOCC_CLOCK_BMAL_TRANSCRIPTION_COMPLEX	5		Rejected!	
GOCC_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	165	133		
GOCC_CMG_COMPLEX	11		Rejected!	
GOCC_COATED_VESICLE	313	257		
GOCC_COATED_VESICLE_MEMBRANE	203	160		
GOCC_COHESIN_COMPLEX	10		Rejected!	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	430	278		
GOCC_COLLAGEN_TRIMER	86	45		
GOCC_COLLAGEN_TYPE_IV_TRIMER	6		Rejected!	
GOCC_COMMITMENT_COMPLEX	5		Rejected!	
GOCC_COMPACT_MYELIN	14		Rejected!	
GOCC_COMPLEX_OF_COLLAGEN_TRIMERS	21		Rejected!	
GOCC_CONDENSED_CHROMOSOME	282	260		
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	182	174		
GOCC_CONDENSED_NUCLEAR_CHROMOSOME	81	67		
GOCC_CONDENSIN_COMPLEX	8		Rejected!	
GOCC_CONE_PHOTORECEPTOR_OUTER_SEGMENT	9		Rejected!	
GOCC_CONNEXIN_COMPLEX	21		Rejected!	
GOCC_CONTRACTILE_FIBER	245	201		
GOCC_CONTRACTILE_RING	10		Rejected!	
GOCC_COP9_SIGNALOSOME	17	15		
GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE	94	76		
GOCC_COPII_VESICLE_COAT	16	16		
GOCC_COPI_COATED_VESICLE	25	24		
GOCC_COPI_COATED_VESICLE_MEMBRANE	18	17		
GOCC_COPI_VESICLE_COAT	13		Rejected!	
GOCC_CORE_MEDIATOR_COMPLEX	26	26		
GOCC_CORNIFIED_ENVELOPE	60	36		
GOCC_CORTICAL_ACTIN_CYTOSKELETON	73	65		
GOCC_CORTICAL_CYTOSKELETON	105	90		
