NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
NEK4	1	NEK4	
NEK5	1	NEK5	
RASL10B	1	RASL10B	
FBXO38	1	FBXO38	
NEK6	1	NEK6	
HTR1D	1	HTR1D	
STYX	1	STYX	
NEK7	1	NEK7	
FBXO36	1	FBXO36	
FBXO34	1	FBXO34	
RGMB-AS1	1	RGMB-AS1	
FBXO32	1	FBXO32	
FBXO33	1	FBXO33	
FBXO30	1	FBXO30	
FBXO31	1	FBXO31	
FAM90A1	1	FAM90A1	
DRAP1	1	DRAP1	
CELP	1	CELP	
ALDH7A1P1	1	ALDH7A1P1	
MNAT1	1	MNAT1	
SLC49A4	1	DIRC2	
SLC49A3	1	MFSD7	
BCAR3	1	BCAR3	
KCNK5	1	KCNK5	
PIWIL2	1	PIWIL2	
AGAP1-IT1	1	AGAP1-IT1	
KCNK6	1	KCNK6	
PIWIL4	1	PIWIL4	
KCNK7	1	KCNK7	
ALAS1	1	ALAS1	
PIWIL3	1	PIWIL3	
BCAR4	1	BCAR4	
ONECUT2	1	ONECUT2	
KCNK9	1	KCNK9	
LRRC37BP1	1	LRRC37BP1	
ONECUT3	1	ONECUT3	
ONECUT1	1	ONECUT1	
HTR2B	1	HTR2B	
PPWD1	1	PPWD1	
HTR2C	1	HTR2C	
HTR2A	1	HTR2A	
NENF	1	NENF	
TNFSF13B	1	TNFSF13B	
BOC	1	BOC	
SPDL1	1	SPDL1	
NEO1	1	NEO1	
BCAS2	1	BCAS2	
BOK	1	BOK	
BCAS1	1	BCAS1	
SLC36A1	1	SLC36A1	
BCAS4	1	BCAS4	
BCAS3	1	BCAS3	
SLC36A3	1	SLC36A3	
SLC36A2	1	SLC36A2	
PIANP	1	PIANP	
VPS13C	1	VPS13C	
VPS13D	1	VPS13D	
DHPS	1	DHPS	
VPS13A	1	VPS13A	
VPS13B	1	VPS13B	
CCDC183-AS1	1	CCDC183-AS1	
RABGGTB	1	RABGGTB	
RABGGTA	1	RABGGTA	
CD24P4	1	CD24P4	
NEMF	1	NEMF	
C1D	1	C1D	
BCAT1	1	BCAT1	
TOLLIP-DT	1	TOLLIP-AS1	
BCAT2	1	BCAT2	
CYP51A1P1	1	CYP51A1P1	
C1S	1	C1S	
C1R	1	C1R	
LRTM2	1	LRTM2	
LENG8	1	LENG8	
U2AF1	1	U2AF1	
IL2RG	1	IL2RG	
CYP51A1P3	1	CYP51A1P3	
CYP51A1P2	1	CYP51A1P2	
DRAM1	1	DRAM1	
U2AF2	1	U2AF2	
DRAM2	1	DRAM2	
TSPOAP1	1	TSPOAP1	
SLC36A4	1	SLC36A4	
BBLN	1	C9orf16	
KCNJ1	1	KCNJ1	
KCNJ4	1	KCNJ4	
KCNJ5	1	KCNJ5	
KCNJ6	1	KCNJ6	
COL26A1	1	COL26A1	
GPKOW	1	GPKOW	
GSTZ1	1	GSTZ1	
IL2RB	1	IL2RB	
KCNK1	1	KCNK1	
BCAR1	1	BCAR1	
KCNK4	1	KCNK4	
SLC23A3	1	SLC23A3	
SLC23A2	1	SLC23A2	
CERK	1	CERK	
SLC23A1	1	SLC23A1	
LGALSL	1	LGALSL	
CCP110	1	CCP110	
PEX26	1	PEX26	
LGALS4	1	LGALS4	
C4B	1	C4B	
LGALS3	1	LGALS3	
C4A	1	C4A	
LGALS2	1	LGALS2	
LGALS1	1	LGALS1	
MCIDAS	1	MCIDAS	
H2BC12L	1	H2BFS	
BSG	1	BSG	
LGALS9	1	LGALS9	
ATXN7L1	1	ATXN7L1	
LGALS8	1	LGALS8	
BSN	1	BSN	
ATXN7L2	1	ATXN7L2	
ATXN7L3	1	ATXN7L3	
EIF5AP4	1	EIF5AP4	
EIF5AP3	1	EIF5AP3	
LIMCH1	1	LIMCH1	
PSMD10P2	1	PSMD10P2	
PSMD10P1	1	PSMD10P1	
EGLN1P1	1	EGLN1P1	
GOLPH3L	1	GOLPH3L	
DRAIC	1	DRAIC	
CFAP141	1	C1orf189	
CFDP1	1	CFDP1	
BTD	1	BTD	
CRISPLD1	1	CRISPLD1	
SOAT1	1	SOAT1	
CRISPLD2	1	CRISPLD2	
SUB1	1	SUB1	
KCNQ1	1	KCNQ1	
NINJ2	1	NINJ2	
KCNQ2	1	KCNQ2	
NINJ1	1	NINJ1	
BTK	1	BTK	
KCNQ4	1	KCNQ4	
DOCK9-DT	1	DOCK9-AS2	
CES3	1	CES3	
CES2	1	CES2	
CES1	1	CES1	
CETP	1	CETP	
GRB7	1	GRB7	
DHX8	1	DHX8	
DHX9	1	DHX9	
RRAD	1	RRAD	
ZBTB1	1	ZBTB1	
ZBTB5	1	ZBTB5	
ZBTB4	1	ZBTB4	
ZBTB3	1	ZBTB3	
CFAP126	1	CFAP126	
ZBTB2	1	ZBTB2	
NKAIN2	1	NKAIN2	
NEU2	1	NEU2	
PKHD1	1	PKHD1	
NKAIN1	1	NKAIN1	
SEPTIN7P6	1	SEPT7P6	
NEU3	1	NEU3	
NKAIN4	1	NKAIN4	
NKAIN3	1	NKAIN3	
MRNIP	1	C5orf45	
RACGAP1	1	RACGAP1	
RRAS	1	RRAS	
SEPTIN7P9	1	SEPT7P9	
SEPTIN7P8	1	SEPT7P8	
NEU1	1	NEU1	
KCNN1	1	KCNN1	
KCNN2	1	KCNN2	
KCNN3	1	KCNN3	
KCNN4	1	KCNN4	
H3C4	1	HIST1H3D	
H3C7	1	HIST1H3F	
BBS2	1	BBS2	
SLC10A4	1	SLC10A4	
BBS1	1	BBS1	
SLC10A5	1	SLC10A5	
NTNG2	1	NTNG2	
XBP1	1	XBP1	
SLC10A7	1	SLC10A7	
YES1	1	YES1	
HSD17B1P1	1	HSD17B1P1	
SLC10A1	1	SLC10A1	
SPDYC	1	SPDYC	
SLC10A3	1	SLC10A3	
SUCO	1	SUCO	
IL36G	1	IL36G	
CPLANE1	1	C5orf42	
CFAP119	1	CCDC189	
CPLANE2	1	RSG1	
NET1	1	NET1	
ZBTB9	1	ZBTB9	
PEX5L	1	PEX5L	
MC1R	1	MC1R	
ZBTB6	1	ZBTB6	
SPDYA	1	SPDYA	
GRB2	1	GRB2	
GRAP	1	GRAP	
OR7E46P	1	OR7E46P	
TFB1M	1	TFB1M	
C8G	1	C8G	
SUFU	1	SUFU	
BBS9	1	BBS9	
BBS7	1	BBS7	
BBS5	1	BBS5	
BBS4	1	BBS4	
EIF5AL1	1	EIF5AL1	
H3C8	1	HIST1H3G	
PCYT1B	1	PCYT1B	
PCYT1A	1	PCYT1A	
ZHX3	1	ZHX3	
FCER1G	1	FCER1G	
AGTRAP	1	AGTRAP	
CACYBP	1	CACYBP	
EIPR1-IT1	1	TSSC1-IT1	
TFB2M	1	TFB2M	
ZHX1	1	ZHX1	
RNF144A	1	RNF144A	
RNF144B	1	RNF144B	
PITPNM1	1	PITPNM1	
PITPNM3	1	PITPNM3	
PITPNM2	1	PITPNM2	
TAX1BP1	1	TAX1BP1	
ERCC6L2-AS1	1	LINC00476	
TAX1BP3	1	TAX1BP3	
FAM32A	1	FAM32A	
FAM193B	1	FAM193B	
FAM193A	1	FAM193A	
SSNA1	1	SSNA1	
NEXN	1	NEXN	
DPPA2P3	1	DPPA2P3	
PEX16	1	PEX16	
PEX19	1	PEX19	
KLHL2	1	KLHL2	
PEX10	1	PEX10	
KLHL3	1	KLHL3	
KCNRG	1	KCNRG	
PEX12	1	PEX12	
CFAP157	1	CFAP157	
PEX13	1	PEX13	
PEX14	1	PEX14	
KLHL9	1	KLHL9	
ETAA1	1	ETAA1	
TFAP4	1	TFAP4	
KLHL5	1	KLHL5	
KCNS1	1	KCNS1	
KLHL6	1	KLHL6	
KLHL7	1	KLHL7	
KCNS3	1	KCNS3	
KLHL8	1	KLHL8	
ANP32AP1	1	ANP32AP1	
INPPL1	1	INPPL1	
PLAT	1	PLAT	
RBM22P2	1	RBM22P2	
PLB1	1	PLB1	
IGF1R	1	IGF1R	
TXN2	1	TXN2	
PPIP5K1	1	PPIP5K1	
PPIP5K2	1	PPIP5K2	
PLAU	1	PLAU	
ENPP1	1	ENPP1	
RXYLT1	1	TMEM5	
MIR6126	1	MIR6126	
ENPP5	1	ENPP5	
CARD10	1	CARD10	
