NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX	29	27		
GOCC_CHROMOSOME	1929		Rejected!	
GOCC_TELOMERASE_HOLOENZYME_COMPLEX	22	22		
GOCC_PERICENTRIC_HETEROCHROMATIN	30	29		
GOCC_NUCLEOLUS	1452		Rejected!	
GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX	30	29		
GOCC_RNA_POLYMERASE_I_COMPLEX	13		Rejected!	
GOCC_MITOCHONDRION	1672		Rejected!	
GOCC_MITOCHONDRIAL_ENVELOPE	796		Rejected!	
GOCC_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX	16	16		
GOCC_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_III	14		Rejected!	
GOCC_MITOCHONDRIAL_PERMEABILITY_TRANSITION_PORE_COMPLEX	7		Rejected!	
GOCC_MITOCHONDRIAL_MATRIX	484	451		
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	56	56		
GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	32	31		
GOCC_SECONDARY_LYSOSOME	18		Rejected!	
GOCC_ENDOSOME	1043		Rejected!	
GOCC_EARLY_ENDOSOME	430	366		
GOCC_LATE_ENDOSOME	296	257		
GOCC_MULTIVESICULAR_BODY	67	50		
GOCC_VACUOLE	842		Rejected!	
GOCC_VACUOLAR_MEMBRANE	463	411		
GOCC_VACUOLAR_LUMEN	176	129		
GOCC_AUTOPHAGOSOME	118	113		
GOCC_SEC61_TRANSLOCON_COMPLEX	5		Rejected!	
GOCC_SIGNAL_PEPTIDASE_COMPLEX	6		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_LUMEN	311	234		
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM	32	26		
GOCC_ROUGH_ENDOPLASMIC_RETICULUM	83	66		
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT	132	118		
GOCC_GOLGI_APPARATUS	1643		Rejected!	
GOCC_GOLGI_STACK	151	128		
GOCC_GOLGI_LUMEN	105	64		
GOCC_GOLGI_MEDIAL_CISTERNA	12		Rejected!	
GOCC_GOLGI_ASSOCIATED_VESICLE	91	79		
GOCC_CIS_GOLGI_NETWORK	75	56		
GOCC_TRANS_GOLGI_NETWORK	257	221		
GOCC_LIPID_DROPLET	103	91		
GOCC_CENTROSOME	631		Rejected!	
GOCC_CENTRIOLE	157	146		
GOCC_MICROTUBULE_ORGANIZING_CENTER	834		Rejected!	
GOCC_ASTER	11		Rejected!	
GOCC_SPINDLE	421	397		
GOCC_POLAR_MICROTUBULE	5		Rejected!	
GOCC_KINETOCHORE_MICROTUBULE	21	21		
GOCC_CHAPERONIN_CONTAINING_T_COMPLEX	11		Rejected!	
GOCC_HEMOGLOBIN_COMPLEX	12		Rejected!	
